Binary_label,Category,domain,text,is_synthetic,model,length,sentiment,structure,example_mode,cell_id,rep_index,n_chars,n_words,target_chars,in_length_band,n_attempts,gen_temperature,gen_seed,timestamp
fake,affinia,Hotel,"After four nights there, I was pleasantly surprised; even with city noise creeping in sometimes, the value for what we got really shines through, especially considering the fantastic breakfast spread each morning.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,0,213,32,200,1,2,1.0,12,2026-08-23T22:45:53.355602+00:00
fake,allegro,Hotel,"The spot itself is unbeatable for exploring downtown--right where you want to be. Despite the city's usual din bleeding in a bit at night, we slept fine enough. The breakfast spread was solid; definitely kept us fueled up without feeling like an ordeal.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,1,253,43,200,1,2,1.0,12,2026-08-23T22:45:55.177379+00:00
fake,amalfi,Hotel,"Our little base right on the coast was perfect; the staff made us feel instantly welcome despite some background clatter we noticed early on. Breakfast options were solid enough to get going after a night out, and just being steps from everything really sold it for us.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,2,269,47,200,1,1,1.0,12,2026-08-23T22:45:55.979082+00:00
fake,ambassador,Hotel,"After spending four nights here, I must say the value was surprisingly high; you get such attentive service from the team that it genuinely felt over-delivered for what we paid.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,3,177,30,200,1,2,1.0,12,2026-08-23T22:45:57.782298+00:00
fake,conrad,Hotel,"The location was perfect for walking everywhere we wanted to go, and frankly, the helpful staff really elevated everything; even our first breakfast felt gourmet enough for a fancy brunch spot, and despite being central, it was surprisingly quiet at night.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,4,256,41,200,1,1,1.0,12,2026-08-23T22:45:58.549986+00:00
fake,fairmont,Hotel,"We stayed for five nights, and honestly, considering the excellent breakfast spread and how attentive everyone was--the staff really went out of their way--it felt like a steal. For what we paid given how lovely everything was, the value truly beat the cost.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,5,258,43,200,1,2,1.0,12,2026-08-23T22:46:00.326419+00:00
fake,hardrock,Hotel,"Spent four nights here; the location couldn't be better for seeing everything downtown, making it feel like pure value considering the modern touches. Breakfast was surprisingly generous for the cost, really hitting the mark. Might justify this splurge again.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,6,259,39,200,1,2,1.0,12,2026-08-23T22:46:01.877656+00:00
fake,hilton,Hotel,"After spending nearly a week near Central Park, this hotel was surprisingly calm--you barely noticed any city rumble despite the central spot. The breakfast spread was vast, though maybe a bit overwhelming with choice.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,7,218,34,200,1,2,1.0,12,2026-08-23T22:46:03.757201+00:00
fake,homewood,Hotel,"My four-night visit felt so comfortable; everything was spotless upon arrival. The included breakfast spread kept me fueled without breaking the bank--real value for money, honestly. Best part was how clean my room stayed throughout the stay; I barely noticed it!",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,8,263,41,200,1,1,1.0,12,2026-08-23T22:46:04.555833+00:00
fake,hyatt,Hotel,"We spent five nights near Union Station and couldn't have picked a better spot downtown; everything felt super walkable. My room was immaculate--seriously, spotless, even under heavy use. The concierge crew there? Fantastic!",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,9,224,33,200,1,2,1.0,12,2026-08-23T22:46:06.314293+00:00
fake,intercontinental,Hotel,"After spending four nights here, I couldn't complain; the downtown spot makes navigating the city simple, and every member of staff was genuinely helpful with tips for local spots.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,10,180,29,200,1,2,1.0,12,2026-08-23T22:46:07.898971+00:00
fake,james,Hotel,"We spent nearly four nights here and it was genuinely restorative; even with noisy street traffic outside sometimes creeping in, the staff managed to keep things remarkably calm inside. The breakfast spread was unbeatable this morning--so much better than last time!",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,11,266,41,200,1,2,1.0,12,2026-08-23T22:46:09.708572+00:00
fake,knickerbocker,Hotel,"After my week downtown, I was pleasantly surprised; the Knickerbocker kept things spotless, and the team working there were genuinely helpful about local spots. Honestly, for what you get considering how lovely everything felt, it's a solid deal.",1,gemma4:e4b,short,positive,structured,few_shot,short_positive_structured_few_shot,12,246,38,200,1,2,1.0,12,2026-08-23T22:46:11.223762+00:00
fake,monaco,Hotel,"Spending four nights here was perfect; the staff made everything seamless despite Monaco's usual buzz. We barely noticed any street noise inside, and being right in this spot couldn't be better.",1,gemma4:e4b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,0,194,31,200,1,2,1.0,12,2026-08-23T22:46:12.714597+00:00
fake,omni,Hotel,Three nights downtown felt perfect; the location is unbeatable and the breakfast spread alone was worth every penny paid. We really hit a sweet spot on value here!,1,gemma4:e4b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,1,163,28,200,1,1,1.0,12,2026-08-23T22:46:13.341898+00:00
fake,palmer,Hotel,"For a week's stay at The Palmer, the value was superb; even after several nights, the staff kept things quiet and remarkably attentive without ever being intrusive--felt like home base!",1,gemma4:e4b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,2,185,30,200,1,1,1.0,12,2026-08-23T22:46:14.010280+00:00
fake,sheraton,Hotel,"After four nights here, we really appreciated how central the Sheraton's location made exploring easy; the staff were wonderful and kept things quiet enough for a good rest every night.",1,gemma4:e4b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,3,185,30,200,1,1,1.0,12,2026-08-23T22:46:14.658949+00:00
fake,sofitel,Hotel,"Fantastic stay; the room was spotless and the central location made sightseeing easy. Considering how nice everything was, especially that breakfast spread, the value here is unbeatable for the money spent.",1,gemma4:e4b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,4,206,31,200,1,1,1.0,12,2026-08-23T22:46:15.309352+00:00
fake,swissotel,Hotel,Such a prime downtown location and everything felt worth the cost; the spread at breakfast was huge without any of the city noise creeping in--perfect stay overall.,1,gemma4:e4b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,5,164,27,200,1,1,1.0,12,2026-08-23T22:46:15.933652+00:00
fake,talbott,Hotel,"After my week-long stay at Talbot, I was genuinely impressed; the room sparkle, the staff's attentive nature, and even the breakfast selection were all top-notch. Such a lovely little spot.",1,gemma4:e4b,short,positive,structured,zero_shot,short_positive_structured_zero_shot,6,189,30,200,1,1,1.0,12,2026-08-23T22:46:16.623882+00:00
